window,gaussian_id,affected_bR,bR_total,A_n,A_c,A_opportunity,D_opportunity,A_support,D_support,A_cap,D_cap,A_G0,D_G0,A_simple,D_simple,A_oac,D_oac,delta_G0,delta_simple,delta_OAC,delta_OAC_minus_delta_G0,A_low_evidence,D_low_evidence,A_OAC_above_threshold,D_OAC_above_threshold,A_OAC_topK,D_OAC_topK
W1,18398,0,0.0,71.0,65.0,57.37455102113781,57.37455102113781,51,51,0,0,6.671400579004742e-05,6.671400579004742e-05,0.00011055722134462834,0.00011055722134462834,8.152483970970803e-05,8.152483970970803e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,18675,0,0.0,20.0,20.0,20.0,20.0,17,17,0,0,0.00022289969856501557,0.00022289969856501557,0.00023265104420371456,0.00023265104420371456,0.00022289969856501557,0.00022289969856501557,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,18804,0,0.0,72.0,67.0,58.89736043526578,58.89736043526578,53,53,0,0,0.00024025818572010534,0.00024025818592221526,0.00034011919771108427,0.0003401191979599324,0.000290308241687199,0.000290308241931412,2.0210992168062658e-13,2.488481426130007e-13,2.442130156952993e-13,4.2103094014672715e-14,0,0,0,0,0,0
W1,19124,0,0.0,17.0,13.0,11.0,11.0,10,10,0,0,0.0004509703653371509,0.0004509703653371509,0.0009074247415609334,0.0009074247415609334,0.0006313585114720113,0.0006313585114720113,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,19897,0,0.0,23.0,18.0,18.0,18.0,15,15,0,0,0.00016222856751453392,0.00016222856751453392,0.0002993149754938078,0.0002993149754938078,0.00019909869649510983,0.00019909869649510983,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,20058,0,0.0,86.0,75.0,58.058385774349624,58.058385774349624,53,53,0,0,0.00015648865100736947,0.00015648865100736947,0.00026080910746506287,0.00026080910746506287,0.00022694722743633677,0.00022694722743633677,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,20391,0,0.0,12.0,12.0,12.0,12.0,9,9,0,0,0.000671751109014925,0.000671751109014925,0.0005175084497265365,0.0005175084497265365,0.000671751109014925,0.000671751109014925,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,20669,0,0.0,10.0,10.0,10.0,10.0,8,8,0,0,0.0004503823369304882,0.0004503823369304882,0.0004773802732165494,0.0004773802732165494,0.0004503823369304882,0.0004503823369304882,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,21777,0,0.0,25.0,21.0,20.000779016169243,20.000779016169243,18,18,0,0,0.0005931797492048574,0.0005931797492048574,0.0011769698431223603,0.0011769698431223603,0.0007167355990966707,0.0007167355990966707,0.0,0.0,0.0,0.0,0,0,1,1,1,1
W1,21942,0,0.0,97.0,73.0,60.81599493539658,60.81599493539658,54,54,0,0,3.544736988527044e-05,3.54473697352507e-05,0.00013038776672207435,0.0001303877660994444,5.5236124385358226e-05,5.523612415158886e-05,-1.500197400116851e-13,-6.226299586586242e-13,-2.337693637299333e-13,-8.37496237182482e-14,0,0,0,0,0,0
